Key Name                                          	Value Shape         	
image_encoder.resnet.6.2.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.3.conv1.weight             	torch.Size([256, 1024, 1, 1])	
image_encoder.resnet.6.3.bn1.weight               	torch.Size([256])   	
image_encoder.resnet.6.3.bn1.bias                 	torch.Size([256])   	
image_encoder.resnet.6.3.bn1.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.3.bn1.running_var          	torch.Size([256])   	
image_encoder.resnet.6.3.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.3.conv2.weight             	torch.Size([256, 256, 3, 3])	
image_encoder.resnet.6.3.bn2.weight               	torch.Size([256])   	
image_encoder.resnet.6.3.bn2.bias                 	torch.Size([256])   	
image_encoder.resnet.6.3.bn2.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.3.bn2.running_var          	torch.Size([256])   	
image_encoder.resnet.6.3.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.3.conv3.weight             	torch.Size([1024, 256, 1, 1])	
image_encoder.resnet.6.3.bn3.weight               	torch.Size([1024])  	
image_encoder.resnet.6.3.bn3.bias                 	torch.Size([1024])  	
image_encoder.resnet.6.3.bn3.running_mean         	torch.Size([1024])  	
image_encoder.resnet.6.3.bn3.running_var          	torch.Size([1024])  	
image_encoder.resnet.6.3.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.4.conv1.weight             	torch.Size([256, 1024, 1, 1])	
image_encoder.resnet.6.4.bn1.weight               	torch.Size([256])   	
image_encoder.resnet.6.4.bn1.bias                 	torch.Size([256])   	
image_encoder.resnet.6.4.bn1.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.4.bn1.running_var          	torch.Size([256])   	
image_encoder.resnet.6.4.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.4.conv2.weight             	torch.Size([256, 256, 3, 3])	
image_encoder.resnet.6.4.bn2.weight               	torch.Size([256])   	
image_encoder.resnet.6.4.bn2.bias                 	torch.Size([256])   	
image_encoder.resnet.6.4.bn2.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.4.bn2.running_var          	torch.Size([256])   	
image_encoder.resnet.6.4.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.4.conv3.weight             	torch.Size([1024, 256, 1, 1])	
image_encoder.resnet.6.4.bn3.weight               	torch.Size([1024])  	
image_encoder.resnet.6.4.bn3.bias                 	torch.Size([1024])  	
image_encoder.resnet.6.4.bn3.running_mean         	torch.Size([1024])  	
image_encoder.resnet.6.4.bn3.running_var          	torch.Size([1024])  	
image_encoder.resnet.6.4.bn3.num_batches_tracked  	torch.Size([])      	
